,Brand,General Model,Model,Region,Year,Kilometers,Price,Argus Price,Comparison,Type of seller,Phone number
0,Renault,Zoe,Q90 ZEN,FR-IDF,2016,24092,9870,13487,-,Professionnel Concessionnaire,01-84-16-03-88
1,Renault,Zoe,ZEN CHARGE RAPIDE,FR-IDF,2013,43989,7900,,,Professionnel Négociant,01-64-58-03-41
2,Renault,Zoe,Q90 LIFE,FR-IDF,2016,17563,11500,12697,-,Professionnel Concessionnaire,01-84-15-78-86
3,Renault,Zoe,Q90 INTENS CHARGE RAPIDE,FR-IDF,2014,31719,10460,9920,+,Professionnel Concessionnaire,01-82-88-52-78
4,Renault,Zoe,Q90 LIFE CHARGE RAPIDE,FR-IDF,2015,28090,9900,10586,-,Professionnel Concessionnaire,01-76-31-63-45
5,Renault,Zoe,Q90 INTENS CHARGE RAPIDE,FR-IDF,2013,43598,10150,9319,+,Professionnel Concessionnaire,01-84-15-51-23
6,Renault,Zoe,ZEN CHARGE RAPIDE,FR-IDF,2013,48772,8620,,,Professionnel Négociant,01-64-57-89-38
7,Renault,Zoe,Q90 LIFE,FR-IDF,2014,13364,11090,9720,+,Professionnel Concessionnaire,01-84-15-46-78
8,Renault,Zoe,Q90 INTENS,FR-IDF,2016,29994,10360,12838,-,Professionnel Concessionnaire,01-84-16-12-04
9,Renault,Zoe,Q90 LIFE CHARGE RAPIDE,FR-IDF,2016,29038,10850,11794,-,Professionnel Concessionnaire,01-76-36-78-22
10,Renault,Zoe,Q90 INTENS,FR-IDF,2014,85930,9940,11084,-,Professionnel Concessionnaire,01-84-15-84-00
11,Renault,Zoe,Q90 LIFE,FR-IDF,2014,19094,10670,9720,+,Professionnel Concessionnaire,01-84-15-62-99
12,Renault,Zoe,LIFE CHARGE RAPIDE,FR-IDF,2015,33846,7830,,,Professionnel Négociant,01-64-57-56-27
13,Renault,Zoe,Q90 LIFE,FR-IDF,2014,11356,9610,9720,-,Professionnel Concessionnaire,01-84-15-48-72
14,Renault,Zoe,Q90 INTENS CHARGE RAPIDE,FR-IDF,2014,38186,10320,9920,+,Professionnel Concessionnaire,01-76-37-26-36
15,Renault,Zoe,INTENS,FR-IDF,2015,21724,11710,,,Professionnel Concessionnaire,01-82-88-70-70
16,Renault,Zoe,Q90 LIFE,FR-IDF,2014,36888,10520,9720,+,Professionnel Concessionnaire,01-84-15-89-68
17,Renault,Zoe,Q90 INTENS CHARGE RAPIDE,FR-IDF,2013,49405,10350,9319,+,Professionnel Concessionnaire,01-76-37-26-23
18,Renault,Zoe,LIFE CHARGE RAPIDE,FR-IDF,2015,57620,8450,,,Professionnel Négociant,01-64-57-33-98
19,Renault,Zoe,Q90 LIFE CHARGE RAPIDE,FR-IDF,2014,15851,9700,10820,-,Professionnel Concessionnaire,01-82-88-41-84
